region_id,lat,lon,variable,source,n,bias,rmse,r,add_correction,mul_factor
R10,32.435671000000006,-6.750984000000001,temperature_C,NASA,3348,-1.5772,2.8833,0.9377,-1.5772,0.9196
R10,32.435671000000006,-6.750984000000001,precipitation_mm,OM,457,1.3395,5.9519,0.3542,1.3395,1.5821
R10,32.435671000000006,-6.750984000000001,precipitation_mm,ERA5,570,2.2094,6.0638,0.1436,2.2094,3.4954
R10,32.435671000000006,-6.750984000000001,precipitation_mm,NASA,528,0.7029,6.4044,0.2668,0.7029,1.2798
R10,32.435671000000006,-6.750984000000001,precipitation_mm,CHIRPS,570,-49.9019,54.5461,0.0795,-49.9019,0.0584
R11,32.341075999999994,-6.980235999999999,temperature_C,OM,0,,,,,
R11,32.341075999999994,-6.980235999999999,temperature_C,ERA5,0,,,,,
R11,32.341075999999994,-6.980235999999999,temperature_C,NASA,0,,,,,
R11,32.341075999999994,-6.980235999999999,precipitation_mm,OM,0,,,,,
R11,32.341075999999994,-6.980235999999999,precipitation_mm,ERA5,0,,,,,
R11,32.341075999999994,-6.980235999999999,precipitation_mm,NASA,0,,,,,
R11,32.341075999999994,-6.980235999999999,precipitation_mm,CHIRPS,0,,,,,
R12,32.260356,-6.524997999999998,temperature_C,OM,0,,,,,
R12,32.260356,-6.524997999999998,temperature_C,ERA5,0,,,,,
R12,32.260356,-6.524997999999998,temperature_C,NASA,0,,,,,
R12,32.260356,-6.524997999999998,precipitation_mm,OM,0,,,,,
R12,32.260356,-6.524997999999998,precipitation_mm,ERA5,0,,,,,
R12,32.260356,-6.524997999999998,precipitation_mm,NASA,0,,,,,
R12,32.260356,-6.524997999999998,precipitation_mm,CHIRPS,0,,,,,
R13,32.512730000000005,-6.572606999999999,temperature_C,OM,0,,,,,
R13,32.512730000000005,-6.572606999999999,temperature_C,ERA5,0,,,,,
R13,32.512730000000005,-6.572606999999999,temperature_C,NASA,0,,,,,
R13,32.512730000000005,-6.572606999999999,precipitation_mm,OM,0,,,,,
R13,32.512730000000005,-6.572606999999999,precipitation_mm,ERA5,0,,,,,
R13,32.512730000000005,-6.572606999999999,precipitation_mm,NASA,0,,,,,
R13,32.512730000000005,-6.572606999999999,precipitation_mm,CHIRPS,0,,,,,
R14,32.572125,-6.785915000000001,temperature_C,OM,0,,,,,
R14,32.572125,-6.785915000000001,temperature_C,ERA5,0,,,,,
R14,32.572125,-6.785915000000001,temperature_C,NASA,0,,,,,
R14,32.572125,-6.785915000000001,precipitation_mm,OM,0,,,,,
R14,32.572125,-6.785915000000001,precipitation_mm,ERA5,0,,,,,
R14,32.572125,-6.785915000000001,precipitation_mm,NASA,0,,,,,
R14,32.572125,-6.785915000000001,precipitation_mm,CHIRPS,0,,,,,
R15,32.511407,-6.200299,temperature_C,OM,0,,,,,
R15,32.511407,-6.200299,temperature_C,ERA5,0,,,,,
R15,32.511407,-6.200299,temperature_C,NASA,0,,,,,
R15,32.511407,-6.200299,precipitation_mm,OM,0,,,,,
R15,32.511407,-6.200299,precipitation_mm,ERA5,0,,,,,
R15,32.511407,-6.200299,precipitation_mm,NASA,0,,,,,
R15,32.511407,-6.200299,precipitation_mm,CHIRPS,0,,,,,
R16,32.369195999999995,-6.535410999999998,temperature_C,OM,0,,,,,
R16,32.369195999999995,-6.535410999999998,temperature_C,ERA5,0,,,,,
R16,32.369195999999995,-6.535410999999998,temperature_C,NASA,0,,,,,
R16,32.369195999999995,-6.535410999999998,precipitation_mm,OM,0,,,,,
