region_id,source,variable,slope,intercept,r2,n_samples
R24,openmeteo,om_wind_speed,0.068247730638193,-0.4479798927772638,0.585,880
R01,openmeteo,om_radiation,9223.43324958515,11.916451090130437,0.3725,3544
R02,openmeteo,om_radiation,-0.0,0.0,1.0,4192
R03,openmeteo,om_radiation,-0.0,0.0,1.0,3097
R04,openmeteo,om_radiation,-494.8287184966437,12.427856220923424,0.0007,2677
R05,openmeteo,om_radiation,0.0,0.0,1.0,2276
R06,openmeteo,om_radiation,0.0,0.0,1.0,2239
R07,openmeteo,om_radiation,0.0,0.0,1.0,1550
R09,openmeteo,om_radiation,-692.6329101983001,20.954514755795323,0.0007,2827
R10,openmeteo,om_radiation,11349.861207411683,-2.564851453498534,0.8432,1902
R11,openmeteo,om_radiation,-0.0,0.0,1.0,2778
R12,openmeteo,om_radiation,586.9431404698917,-8.850360082385118,0.0009,2185
R13,openmeteo,om_radiation,0.0,0.0,1.0,2178
R15,openmeteo,om_radiation,0.0,0.0,1.0,2196
R16,openmeteo,om_radiation,-0.0,0.0,1.0,2193
R17,openmeteo,om_radiation,11541.275926568005,-12.905093859167977,0.8445,1185
R18,openmeteo,om_radiation,9960.14484943007,7.765023734049009,0.7829,1200
R19,openmeteo,om_radiation,10986.195322803178,5.284553776262783,0.8782,2049
R20,openmeteo,om_radiation,11033.373926473121,10.690024751370458,0.8694,2048
R22,openmeteo,om_radiation,8913.735651170035,9.385765961117698,0.825,2002
R23,openmeteo,om_radiation,10396.643363205254,23.791421051728747,0.8532,2050
R24,openmeteo,om_radiation,10634.94431089399,0.14939408508126917,0.8502,880
