datetime,region_id,era5_dewpoint_temperature_2m,era5_surface_pressure,era5_surface_solar_radiation_downwards,era5_temperature_2m,era5_total_precipitation,era5_u_component_of_wind_10m,era5_v_component_of_wind_10m,chirps_precipitation,region_nom,lat,lon,temperature_2m_C,dewpoint_temperature_2m_C,era5_precip_mm,era5_wind_speed_ms,era5_radiation_MJm2,era5_pressure_hPa
2012-01-01,R01,280.41274054332445,101239.50161185316,5410633.04032258,283.2004733136905,0.0006025335838557315,-0.49320398479379635,-0.21294526387286442,71.4363431930542,ksar El Kebir,35.0035307,-5.915536899999999,10.050473313690532,7.262740543324469,0.6025335838557315,0.5372111838210027,5.410633040322581,1012.3950161185317
2012-02-01,R01,277.2416679776948,101069.10121452945,7786807.410919541,282.2343846025138,0.0001372812403272389,-0.30245775052870827,-0.5996265383972519,25.919229984283447,ksar El Kebir,35.0035307,-5.915536899999999,9.084384602513808,4.09166797769484,0.1372812403272389,0.671589663712268,7.786807410919541,1010.6910121452945
2012-03-01,R01,281.2779107452721,100877.19801117272,9870288.129663303,287.34431346770253,0.0003785412410463936,-0.673362329442014,-0.49937760060833347,31.35966730117798,ksar El Kebir,35.0035307,-5.915536899999999,14.194313467702557,8.127910745272118,0.3785412410463936,0.8383285839698607,9.870288129663303,1008.7719801117272
2012-04-01,R01,283.06893490685354,100265.4405219184,9897642.166666666,286.7020281685723,0.0024991817690436283,1.0854443046781752,-0.009842031531863742,87.7468032836914,ksar El Kebir,35.0035307,-5.915536899999999,13.552028168572349,9.918934906853565,2.4991817690436284,1.0854889240075007,9.897642166666666,1002.654405219184
2012-05-01,R01,286.0599160348215,100311.08339633736,13117117.244623655,293.47216366183375,0.00036049531572170395,0.18297054818881456,-0.3608720276945381,21.66090202331543,ksar El Kebir,35.0035307,-5.915536899999999,20.32216366183377,12.90991603482155,0.36049531572170396,0.4046070215368028,13.117117244623655,1003.1108339633736
2012-06-01,R01,288.79174834357366,100350.17055121528,13997948.991666667,296.27111943562824,4.7941243765143366e-05,0.8851094086964925,-0.6550400442547268,0.0,ksar El Kebir,35.0035307,-5.915536899999999,23.12111943562826,15.641748343573681,0.04794124376514337,1.1011340177018822,13.997948991666668,1003.5017055121529
2012-07-01,R01,289.0283740053895,100244.61787004369,14086522.346774194,297.5056272732314,3.6359947510324826e-06,0.6143768679711127,-0.41556883371004494,0.0,ksar El Kebir,35.0035307,-5.915536899999999,24.35562727323145,15.878374005389503,0.0036359947510324828,0.7417252803087684,14.086522346774194,1002.4461787004369
2012-08-01,R01,290.7067527976087,100342.47485614079,12927000.147849463,298.35031769865304,4.755365422178433e-06,0.697485420011705,-0.3042189075100806,1.2482105493545532,ksar El Kebir,35.0035307,-5.915536899999999,25.200317698653066,17.556752797608738,0.004755365422178433,0.7609435293210209,12.927000147849462,1003.4247485614079
2012-09-01,R01,290.37134159935846,100228.19445529513,9651897.144078212,295.7553838729858,0.0013019855909301202,0.5467017968495687,0.0034111592504713273,35.98784923553467,ksar El Kebir,35.0035307,-5.915536899999999,22.60538387298584,17.22134159935848,1.3019855909301203,0.5467124387518352,9.651897144078212,1002.2819445529514
2012-10-01,R01,288.5280757411834,100154.02438781082,7102374.624335156,291.893614533127,0.0019707968369505864,0.19435206151777698,0.26978857542878837,119.80212259292603,ksar El Kebir,35.0035307,-5.915536899999999,18.743614533127015,15.378075741183409,1.9707968369505864,0.33250353268515026,7.102374624335156,1001.5402438781082
2012-11-01,R01,285.6978306452433,100267.70837131076,4755630.294444445,288.1514082590739,0.003903234060039705,0.16675660345289442,0.04946515162785848,182.8543930053711,ksar El Kebir,35.0035307,-5.915536899999999,15.001408259073912,12.547830645243323,3.903234060039705,0.17393839720059773,4.755630294444445,1002.6770837131075
2012-12-01,R01,282.59537610700056,101101.32670215894,4528699.166666667,284.92012854545345,0.0008600258757629415,-0.5136707162344327,0.33857148180725755,30.739205360412598,ksar El Kebir,35.0035307,-5.915536899999999,11.770128545453474,9.445376107000584,0.8600258757629415,0.6152139896084591,4.528699166666667,1011.0132670215894
2013-01-01,R01,282.3141575474893,101203.23731518818,4309113.177419355,284.7357908679593,0.0029142044048737696,0.3614909815531905,0.006739680485058856,108.862060546875,ksar El Kebir,35.0035307,-5.915536899999999,11.585790867959304,9.16415754748931,2.9142044048737694,0.36155380379319724,4.309113177419355,1012.0323731518818
2013-02-01,R01,280.10835767927625,100732.71363467262,6307145.741071428,283.47093289239064,0.001436822190790475,0.23056985508827937,-0.13321910159928457,72.845947265625,ksar El Kebir,35.0035307,-5.915536899999999,10.320932892390658,6.958357679276276,1.436822190790475,0.26628891660441045,6.3071457410714284,1007.3271363467262
2013-03-01,R01,283.79700225912114,99995.4906859039,6729149.8346229475,286.52744328078404,0.005122420418474876,0.8028542098178658,1.0568176046494515,225.25603866577148,ksar El Kebir,35.0035307,-5.915536899999999,13.377443280784064,10.647002259121166,5.122420418474876,1.3271918970967516,6.729149834622947,999.954906859039
2013-04-01,R01,284.45871384938556,100247.6754937066,11268376.241666667,289.141356171502,0.0014637013124708146,0.5140103538831075,-0.16057242684894138,76.78653717041016,ksar El Kebir,35.0035307,-5.915536899999999,15.991356171502048,11.308713849385583,1.4637013124708147,0.5385073334349273,11.268376241666667,1002.476754937066
2013-05-01,R01,284.25555501958377,100395.7879546791,12046854.935483871,290.5752385662448,0.0005610499651756746,0.8589008764554096,-0.2431938571314658,27.51928424835205,ksar El Kebir,35.0035307,-5.915536899999999,17.425238566244843,11.10555501958379,0.5610499651756746,0.892666773058318,12.046854935483871,1003.957879546791
2013-06-01,R01,286.60710701412626,100302.23107638888,13594948.755555555,294.8841014862061,8.138988683865891e-05,0.17927773793538412,-0.4544966181119283,0.0,ksar El Kebir,35.0035307,-5.915536899999999,21.7341014862061,13.45710701412628,0.08138988683865891,0.48857720290083967,13.594948755555555,1003.0223107638889
2013-07-01,R01,289.1762437717889,100230.96546328966,13830387.177419355,298.6049173211539,5.672295999570309e-06,0.5113453852233066,-0.4663465125586397,0.0,ksar El Kebir,35.0035307,-5.915536899999999,25.454917321153914,16.026243771788927,0.005672295999570309,0.6920644281891516,13.830387177419356,1002.3096546328966
2013-08-01,R01,290.66822117631153,100115.06572895666,12675353.771505376,299.9393219896542,2.8514919410043113e-05,0.5674241973507789,-0.3331304096406506,0.0,ksar El Kebir,35.0035307,-5.915536899999999,26.78932198965424,17.518221176311556,0.028514919410043114,0.6579863901073664,12.675353771505376,1001.1506572895665
2013-09-01,R01,290.40631290011936,100315.51153428819,9692788.684429571,296.2511965221829,0.0008426980155912577,0.4473466912905375,0.004090228345659044,19.684592723846436,ksar El Kebir,35.0035307,-5.915536899999999,23.10119652218293,17.256312900119383,0.8426980155912577,0.44736539000744246,9.692788684429571,1003.1551153428819
2013-10-01,R01,288.7031172475507,100442.6125829553,7836743.1510590585,293.2636311848958,0.0010907531428610054,0.1536347109784362,-0.26833925324101604,43.829355239868164,ksar El Kebir,35.0035307,-5.915536899999999,20.113631184895837,15.553117247550745,1.0907531428610053,0.3092079870368386,7.836743151059059,1004.426125829553
2013-11-01,R01,282.80827488369414,100592.2588704427,5747444.502777778,287.1916216744317,0.000840187829511886,-0.24792203240924413,-0.4338855319552951,16.65654230117798,ksar El Kebir,35.0035307,-5.915536899999999,14.041621674431724,9.658274883694162,0.840187829511886,0.4997219116609354,5.747444502777777,1005.9225887044271
2013-12-01,R01,280.7919971917265,101123.63691301244,4948944.895161291,284.66950143793576,0.0011808743797810186,-0.4341440123896445,-0.22850688939453453,86.52685546875,ksar El Kebir,35.0035307,-5.915536899999999,11.519501437935787,7.641997191726546,1.1808743797810186,0.4906082163952677,4.948944895161291,1011.2363691301243
2014-01-01,R01,281.8670232219081,100702.84856980847,4176406.2688172045,284.6582533313382,0.0024445409853548865,0.04362055691339636,0.2926584610375025,116.27309226989746,ksar El Kebir,35.0035307,-5.915536899999999,11.50825333133821,8.717023221908107,2.4445409853548865,0.29589141218067516,4.176406268817204,1007.0284856980848
2014-02-01,R01,281.2256338709877,100888.54522414434,6240543.943452381,284.50280389331635,0.0012619527432784071,0.3270716340768905,0.21467949095226468,101.0774040222168,ksar El Kebir,35.0035307,-5.915536899999999,11.352803893316377,8.075633870987701,1.2619527432784072,0.3912328432701565,6.240543943452381,1008.8854522414434
