region_id,source,variable,slope,intercept,r2,n_samples
R24,nasa,nasa_wind_speed,0.2432820090820527,-0.10589285381216729,0.4922,880
R01,nasa,nasa_radiation,8.813666144050435,21.22671724614031,0.3606,3544
R02,nasa,nasa_radiation,-0.0,0.0,1.0,4192
R03,nasa,nasa_radiation,0.0,0.0,1.0,3097
R04,nasa,nasa_radiation,-0.48343408045519315,12.489127094959514,0.0008,2677
R05,nasa,nasa_radiation,0.0,0.0,1.0,2276
R06,nasa,nasa_radiation,0.0,0.0,1.0,2239
R07,nasa,nasa_radiation,0.0,0.0,1.0,1550
R09,nasa,nasa_radiation,-0.6865668833544534,21.45326902790979,0.0008,2827
R10,nasa,nasa_radiation,11.014361745921157,-2.6604090224710433,0.8875,1902
R11,nasa,nasa_radiation,0.0,0.0,1.0,2778
R12,nasa,nasa_radiation,0.6108578034941834,-9.782005102677726,0.0012,2185
R13,nasa,nasa_radiation,0.0,0.0,1.0,2178
R15,nasa,nasa_radiation,0.0,0.0,1.0,2196
R16,nasa,nasa_radiation,-0.0,0.0,1.0,2193
R17,nasa,nasa_radiation,10.577535958320224,-5.683969955104459,0.8698,1185
R18,nasa,nasa_radiation,9.035325683482062,16.546275925549963,0.7822,1200
R19,nasa,nasa_radiation,10.635855484352698,2.2498541311406655,0.9163,2049
R20,nasa,nasa_radiation,10.786589912171276,4.912793046616997,0.9153,2048
R22,nasa,nasa_radiation,8.714415455752492,5.224306658557396,0.8689,2002
R23,nasa,nasa_radiation,10.126682561357358,20.567010581984306,0.8966,2050
R24,nasa,nasa_radiation,10.370982730969597,3.179169866656622,0.8556,880
